Angle(deg),Range(m),Intensity
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
0.999998,0,0
0,0,0
-1,0,0
-2,0,0
-3,0,0
-4,0,0
-5,0,0
-6,0,0
-7,0,0
-8,0,0
-9,0,0
-10,0,0
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
0.999998,0,0
0,0,0
-1,0,0
-2,0,0
-3,0,0
-4,0,0
-5,0,0
-6,0,0
-7,0,0
-8,0,0
-9,0,0
-10,0,0
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
0.999998,0,0
0,0,0
-1,0,0
-2,0,0
-3,0,0
-4,0,0
-5,0,0
-6,0,0
-7,0,0
-8,0,0
-9,0,0
-10,0,0
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0.485,1500
41,0.486,1500
40,0.486,1200
39,0.494,1300
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
0.999998,0,0
0,0,0
-1,0,0
-2,0,0
-3,0,0
-4,0,0
-5,0,0
-6,0,0
-7,0,0
-8,0,0
-9,0,0
-10,0,0
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0.485,1200
40,0.487,1000
39,0,0
38,0.51,1200
37,0.503,1100
36,0.504,1100
35,0.517,1000
34,0,0
33,0,0
32,0.494,1100
31,0,0
30,0,0
29,0,0
28,0.489,1300
27,0.486,1300
26,0.491,1300
25,0.492,1500
24,0.497,1400
23,0.499,1500
22,0.502,900
21,0,0
20,0.34,2800
19,0.333,2200
18,0.321,2700
17,0.314,4700
16,0.318,5200
15,0.314,3900
14,0.313,3400
13,0.304,2800
12,0.303,3600
11,0.302,3500
10,0.262,5000
9,0.267,6100
8,0.269,6900
7,0.27,5900
6,0.246,3000
5,0.162,7700
4,0.159,9100
3,0.158,10100
2,0.157,10800
0.999998,0.157,11300
0,0.156,11200
-1,0.155,11200
-2,0.153,9700
-3,0.153,6400
-4,0,0
-5,0,0
-6,0,0
-7,0,0
-8,0,0
-9,0,0
-10,0,0
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0.122,2600
-21,0.126,2500
-22,0.124,2900
-23,0.125,2600
-24,0.127,2400
-25,0.131,2200
-26,0.133,2400
-27,0.136,2400
-28,0.138,2600
-29,0.14,2400
-30,0.158,5400
-31,0.164,5400
-32,0.157,6100
-33,0.159,5000
-34,0.156,3300
-35,0.155,2700
-36,0.161,2000
-37,0,0
-38,0.167,1600
-39,0,0
-40,0.173,3200
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0.485,1200
40,0.486,900
39,0,0
38,0,0
37,0.503,1100
36,0.504,1200
35,0.515,1000
34,0,0
33,0,0
32,0.493,1000
31,0.506,1300
30,0,0
29,0,0
28,0.49,1300
27,0.485,1300
26,0.491,1400
25,0.492,1500
24,0.497,1400
23,0.5,1400
22,0.501,1500
21,0.352,2000
20,0.342,2600
19,0.335,2100
18,0.329,2400
17,0.319,3700
16,0.314,5200
15,0.317,4500
14,0.315,3600
13,0.307,3200
12,0.305,3700
11,0.306,3700
10,0.298,4100
9,0.266,6000
8,0.267,8500
7,0.272,7300
6,0.276,9300
5,0.255,7000
4,0.249,6300
3,0.215,9500
2,0.21,11300
0.999998,0.206,13700
0,0.192,10600
-1,0.188,8800
-2,0.184,8500
-3,0.183,6400
-4,0.138,6500
-5,0.136,8500
-6,0.137,7800
-7,0.133,7100
-8,0.128,5700
-9,0.128,4100
-10,0.131,5900
-11,0.132,5900
-12,0.135,4800
-13,0.132,4000
-14,0.131,5200
-15,0.132,6400
-16,0.138,9200
-17,0.138,7500
-18,0.141,6100
-19,0.141,4100
-20,0.14,4500
-21,0.143,3900
-22,0.141,3900
-23,0.143,3800
-24,0.146,3700
-25,0.149,3000
-26,0.148,2800
-27,0.153,3200
-28,0,0
-29,0.176,6600
-30,0.173,6300
-31,0.173,7800
-32,0.165,4800
-33,0.167,3000
-34,0.168,2200
-35,0.173,3600
-36,0.175,1900
-37,0.185,2900
-38,0.184,2900
-39,0.185,3000
-40,0.179,2900
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.475,400
45,0.478,900
44,0.479,1000
43,0.481,1100
42,0.485,1300
41,0.486,1200
40,0.486,900
39,0.493,1100
38,0.509,1200
37,0.503,1100
36,0.504,1200
35,0.512,1100
34,0.505,1600
33,0.491,1400
32,0.491,1100
31,0.509,1600
30,0.498,1100
29,0.488,1200
28,0.49,1300
27,0.484,1200
26,0.49,1400
25,0.492,1500
24,0.496,1400
23,0.5,1500
22,0.5,1500
21,0.356,1900
20,0.345,2600
19,0.337,2200
18,0.331,2400
17,0.321,3200
16,0.313,4900
15,0.318,4500
14,0.316,3600
13,0.309,3200
12,0.306,3400
11,0.307,3600
10,0.299,4400
9,0.267,5600
8,0.268,8400
7,0.271,7600
6,0.276,9400
5,0.253,6300
4,0.249,6500
3,0.21,9000
2,0.212,10200
0.999998,0.209,11500
0,0.202,7400
-1,0.147,5900
-2,0.142,7200
-3,0.14,5500
-4,0.138,6200
-5,0.136,6800
-6,0.136,6500
-7,0.135,6100
-8,0.132,6400
-9,0.132,5900
-10,0.135,6200
-11,0.135,6000
-12,0.138,8200
-13,0.138,7600
-14,0.138,6900
-15,0.137,6200
-16,0.139,5500
-17,0.137,5200
-18,0.141,4600
-19,0.142,4100
-20,0.141,3600
-21,0.144,3500
-22,0.142,3200
-23,0.142,3500
-24,0.144,2500
-25,0.157,3000
-26,0.166,6100
-27,0.169,6100
-28,0.172,5900
-29,0.169,7300
-30,0.161,4300
-31,0.163,3300
-32,0.165,3200
-33,0.168,4000
-34,0.168,2300
-35,0.176,3900
-36,0.177,3400
-37,0.177,3100
-38,0.176,2800
-39,0.177,2900
-40,0.172,2600
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.476,400
45,0.479,700
44,0.479,900
43,0.48,900
42,0.485,1100
41,0.486,900
40,0.486,900
39,0.492,1000
38,0.51,1100
37,0.503,1000
36,0.504,1100
35,0.511,800
34,0.517,1100
33,0.492,1000
32,0.491,1100
31,0.508,1100
30,0.503,1000
29,0.491,1100
28,0.491,1200
27,0.484,1200
26,0.489,1100
25,0.491,1200
24,0.496,1200
23,0.499,1200
22,0.5,1100
21,0.353,1600
20,0.345,1800
19,0.337,1700
18,0.33,1700
17,0.323,2100
16,0.315,2900
15,0.319,2600
14,0.318,2200
13,0.31,1800
12,0.308,2100
11,0.31,2100
10,0.288,2500
9,0.267,2900
8,0.27,4200
7,0.267,4600
6,0.254,3600
5,0.218,4100
4,0.211,500
3,0.141,4500
2,0.14,4200
0.999998,0.139,4900
0,0.138,4500
-1,0.139,3900
-2,0.138,3900
-3,0.139,5400
-4,0.14,4100
-5,0.136,2300
-6,0.135,6300
-7,0.134,3900
-8,0.135,5700
-9,0.137,6000
-10,0.139,3600
-11,0.139,3600
-12,0.14,3200
-13,0.139,3000
-14,0.139,3000
-15,0.14,2900
-16,0.143,3200
-17,0.142,3400
-18,0.145,3100
-19,0.147,3900
-20,0.151,2900
-21,0.157,4900
-22,0.165,4600
-23,0.165,5000
-24,0.162,5300
-25,0.16,2400
-26,0.159,2000
-27,0.171,3200
-28,0.167,2400
-29,0.169,3700
-30,0.167,4100
-31,0.169,3800
-32,0.164,3100
-33,0.167,2400
-34,0.167,1900
-35,0.172,2000
-36,0.174,3000
-37,0.174,2600
-38,0.174,2400
-39,0.176,2300
-40,0.171,2000
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.473,200
45,0.478,900
44,0.478,1000
43,0.48,1000
42,0.485,1300
41,0.485,1000
40,0.485,900
39,0.493,800
38,0.509,1000
37,0.503,1000
36,0.503,1100
35,0.508,1000
34,0.517,1100
33,0.496,900
32,0.492,1000
31,0.494,800
30,0.507,1600
29,0.499,1000
28,0.494,1100
27,0.485,1200
26,0.488,1000
25,0.49,1200
24,0.495,1100
23,0.499,1100
22,0.368,1400
21,0.351,1800
20,0.345,1900
19,0.336,1500
18,0.327,2000
17,0.324,2100
16,0.323,2900
15,0.321,2400
14,0.319,1700
13,0.313,1800
12,0.314,2100
11,0.299,2700
10,0.29,2400
9,0.269,2100
8,0.148,3000
7,0.143,3700
6,0.145,3500
5,0.146,3600
4,0.144,3200
3,0.144,4200
2,0.144,4600
0.999998,0.147,9300
0,0.146,8400
-1,0.147,6900
-2,0.145,5300
-3,0.144,4100
-4,0.142,3400
-5,0.141,3900
-6,0.146,6800
-7,0.147,7200
-8,0.145,7100
-9,0.146,5000
-10,0.148,2800
-11,0.148,3100
-12,0.15,2900
-13,0.149,2400
-14,0.17,3000
-15,0.169,2400
-16,0.167,5400
-17,0.17,5400
-18,0.166,3100
-19,0.167,2300
-20,0.174,2700
-21,0.174,3200
-22,0.17,2100
-23,0.173,3300
-24,0.175,3600
-25,0.177,5000
-26,0.172,5500
-27,0.169,3400
-28,0.169,3100
-29,0.17,3100
-30,0.165,3100
-31,0.169,2600
-32,0.166,2300
-33,0.172,2100
-34,0.173,2200
-35,0.175,2100
-36,0.179,2000
-37,0.182,1800
-38,0.184,1800
-39,0,0
-40,0.501,5200
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.473,600
45,0.478,800
44,0.478,1000
43,0.48,1100
42,0.483,1100
41,0.485,900
40,0.485,800
39,0.492,800
38,0.51,1000
37,0.503,900
36,0.504,1100
35,0.508,1000
34,0.518,1000
33,0.498,800
32,0.493,1200
31,0.491,1100
30,0.507,1000
29,0.505,1100
28,0.499,1000
27,0.486,1100
26,0.487,1100
25,0.49,1200
24,0.495,1100
23,0.499,1200
22,0.367,1500
21,0.353,1700
20,0.347,1600
19,0.338,1500
18,0.33,2000
17,0.327,2100
16,0.327,2500
15,0.325,2400
14,0.322,1700
13,0.319,1800
12,0.32,2000
11,0.163,1900
10,0.154,3400
9,0.155,3500
8,0.153,5600
7,0.154,5600
6,0.157,5600
5,0.157,5900
4,0.156,3400
3,0.154,3100
2,0.154,3000
0.999998,0.153,3300
0,0.151,5700
-1,0.151,4200
-2,0.149,4000
-3,0.149,4500
-4,0.154,7800
-5,0.155,7600
-6,0.157,6300
-7,0.155,5500
-8,0.152,3000
-9,0.154,2700
-10,0.168,3300
-11,0.18,2700
-12,0.175,4900
-13,0.174,5000
-14,0.17,2900
-15,0.181,1800
-16,0.182,9600
-17,0.177,3200
-18,0.18,4200
-19,0.18,6300
-20,0.172,7600
-21,0.168,5800
-22,0.164,4400
-23,0.163,4000
-24,0.163,3000
-25,0.166,2600
-26,0.165,2400
-27,0.168,2400
-28,0.17,2200
-29,0.173,2400
-30,0.171,2600
-31,0.175,2500
-32,0.172,2500
-33,0.177,2400
-34,0.177,2400
-35,0.178,2200
-36,0.187,1200
-37,0,0
-38,0,0
-39,0,0
-40,0.5,5100
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.475,700
45,0.477,800
44,0.478,1000
43,0.479,1100
42,0.484,1100
41,0.485,900
40,0.486,900
39,0.492,800
38,0.51,1000
37,0.503,1000
36,0.503,1100
35,0.508,1000
34,0.519,1100
33,0.518,1000
32,0.497,900
31,0.491,1200
30,0.501,700
29,0.506,1100
28,0.504,1000
27,0.489,1100
26,0.488,1200
25,0.49,1100
24,0.496,1200
23,0.5,1200
22,0.37,1500
21,0.357,1700
20,0.35,1600
19,0.341,1500
18,0.333,2000
17,0.331,2000
16,0.331,2200
15,0.33,2400
14,0.328,1600
13,0.324,900
12,0.169,4200
11,0.169,2600
10,0.163,3100
9,0.165,4800
8,0.164,6500
7,0.163,6800
6,0.166,6000
5,0.166,4100
4,0.162,3700
3,0.16,4300
2,0.159,4000
0.999998,0.158,4400
0,0.157,5200
-1,0.16,7800
-2,0.162,8300
-3,0.164,7200
-4,0.164,5500
-5,0.161,3100
-6,0.163,2800
-7,0.178,2000
-8,0.186,4600
-9,0.181,400
-10,0.18,6200
-11,0.177,2500
-12,0.192,4300
-13,0.186,3900
-14,0.186,4600
-15,0.186,4700
-16,0.17,6100
-17,0.165,3900
-18,0.166,4200
-19,0.166,4000
-20,0.163,4200
-21,0.165,4000
-22,0.163,3700
-23,0.164,3500
-24,0.165,2800
-25,0.168,2400
-26,0.168,2400
-27,0.17,2400
-28,0.173,2500
-29,0.175,2900
-30,0.172,3200
-31,0.175,2800
-32,0.172,2400
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0.499,4800
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.473,600
45,0.478,800
44,0.478,1000
43,0.48,1100
42,0.483,1100
41,0.485,1000
40,0.485,800
39,0.492,800
38,0.508,900
37,0.503,1000
36,0.503,1100
35,0.508,1000
34,0.521,1000
33,0.519,900
32,0.501,1000
31,0.493,1100
30,0.495,1000
29,0.508,1100
28,0.509,1100
27,0.494,1000
26,0.491,1200
25,0.49,1200
24,0.497,1100
23,0.501,1200
22,0.376,1400
21,0.361,1600
20,0.354,1400
19,0.341,1500
18,0.336,1800
17,0.334,1900
16,0.335,2100
15,0.334,2100
14,0.182,2000
13,0.176,2600
12,0.175,2900
11,0.175,2300
10,0.169,4300
9,0.172,5400
8,0.168,6900
7,0.167,6300
6,0.169,4000
5,0.168,3100
4,0.165,3700
3,0.162,3900
2,0.161,5200
0.999998,0.164,7400
0,0.166,8000
-1,0.169,7200
-2,0.167,6500
-3,0.167,3200
-4,0.169,2400
-5,0.186,1000
-6,0.19,6600
-7,0.196,1900
-8,0.183,8200
-9,0.183,4600
-10,0.196,5100
-11,0.19,4100
-12,0.191,4100
-13,0.187,5600
-14,0.169,5300
-15,0.166,4200
-16,0.166,4400
-17,0.163,4100
-18,0.166,4100
-19,0.165,3600
-20,0.163,3800
-21,0.166,3800
-22,0.164,3500
-23,0.165,3200
-24,0.167,2700
-25,0.17,2600
-26,0.17,2600
-27,0.172,2600
-28,0.174,2600
-29,0.176,2600
-30,0.174,2700
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0.5,4800
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0.473,600
45,0.477,900
44,0.478,1000
43,0.479,1200
42,0.484,1300
41,0.485,1000
40,0.485,900
39,0.493,800
38,0.509,1000
37,0.504,900
36,0.503,1100
35,0.509,1000
34,0.521,1000
33,0.519,1100
32,0.503,800
31,0.494,1200
30,0.495,1100
29,0.509,1200
28,0.512,1100
27,0.497,1000
26,0.493,1200
25,0.492,1100
24,0.498,1100
23,0.503,1100
22,0.378,1400
21,0.364,1500
20,0.356,1600
19,0.34,1700
18,0.338,1800
17,0.342,2000
16,0.338,1800
15,0.183,2700
14,0.183,2800
13,0.179,2900
12,0.177,2500
11,0.177,3900
10,0.174,5600
9,0.174,6000
8,0.17,5700
7,0.168,3500
6,0.169,3600
5,0.168,3200
4,0.164,4400
3,0.164,6200
2,0.167,7800
0.999998,0.171,8000
0,0.171,7200
-1,0.17,4200
-2,0.17,3000
-3,0,0
-4,0.191,7100
-5,0.196,4000
-6,0.188,2000
-7,0.184,4900
-8,0.193,4100
-9,0.194,9000
-10,0.187,3600
-11,0.191,7700
-12,0.174,5400
-13,0.168,4200
-14,0.166,4100
-15,0.164,4200
-16,0.164,4200
-17,0.162,3800
-18,0.165,3700
-19,0.166,3600
-20,0.164,3700
-21,0.167,3500
-22,0.165,3400
-23,0.167,3400
-24,0.168,2900
-25,0.171,2700
-26,0.17,2600
-27,0.172,2400
-28,0.176,2200
-29,0.198,2000
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0.5,5100
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
